,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
19146,용담,20210403,17.7085,158145177600.0,115326167040.00002,452.545,55.5,85.0,15.7,1.0,4.01,672.52
19147,용담,20210404,7.628,243895173119.99997,115258982400.0,454.034,55.7,87.3,11.1,1.3,5.6,672.52
19148,용담,20210405,0.0,222336368640.0,114923059200.0,455.277,55.9,66.6,9.5,1.1,9.6,672.52
19149,용담,20210406,0.0,157906298880.0,114885734400.0,455.775,55.9,56.9,11.1,1.3,8.7,672.52
19150,용담,20210407,0.0,136563978240.00002,115042498559.99998,456.024,56.0,54.4,12.1,1.1,11.2,672.52
19151,용담,20210408,0.0,114952919040.00002,114952919040.00002,456.024,56.0,49.6,11.1,1.4,11.4,672.52
19152,용담,20210409,0.0,93521018880.0,115042498559.99998,455.775,55.9,56.6,10.3,1.6,11.1,672.52
19153,용담,20210410,0.0,71954749440.0,114975313920.0,455.277,55.9,56.8,11.3,1.0,11.7,672.52
19154,용담,20210411,0.0,72074188800.0,115064893440.00002,454.779,55.8,56.4,13.4,0.9,11.5,672.52
19155,용담,20210412,16.6802,114945454080.0,114945454080.0,454.779,55.8,81.8,12.1,1.1,5.42,672.52
19156,용담,20210413,2.1278,136414679040.00002,114923059200.0,455.028,55.8,73.6,10.7,2.4,5.8,672.52
19157,용담,20210414,0.0,115072358400.0,115072358400.0,455.028,55.8,52.5,8.4,1.6,12.0,672.52
19158,용담,20210415,0.0,115064893440.00002,115064893440.00002,455.028,55.8,54.6,9.3,0.9,11.9,672.52
19159,용담,20210416,0.0,72096583680.0,115064893440.00002,454.531,55.8,74.9,10.9,1.4,0.8,672.52
19160,용담,20210417,0.1359,93603133440.00002,115079823359.99998,454.282,55.7,63.1,9.4,2.2,7.7,672.52
19161,용담,20210418,0.0,72096583680.0,115020103680.0,453.785,55.7,58.3,10.1,2.3,8.8,672.52
19162,용담,20210419,0.0,50933422079.99999,115266447359.99998,453.041,55.6,56.1,11.4,1.4,12.3,672.52
19163,용담,20210420,0.0,51015536640.0,115273912320.0,452.297,55.5,55.3,14.6,0.9,11.3,672.52
19164,용담,20210421,0.0,51254415360.0,115445606400.0,451.554,55.4,51.3,18.9,0.9,11.0,672.52
19165,용담,20210422,0.0,72671385600.0,115423211520.0,451.059,55.3,42.0,20.0,1.7,3.0,672.52
19166,용담,20210423,0.0,32435251200.0,117849323520.0,450.07,55.2,34.0,18.7,2.2,0.5,672.52
19167,용담,20210424,0.0,30136043520.0,115430676480.0,449.083,55.1,43.3,17.0,1.4,6.4,672.52
19168,용담,20210425,0.0,51455969279.99999,115341096959.99998,448.344,55.0,55.0,15.9,1.3,12.2,672.52
19169,용담,20210426,0.0,32196372480.0,117274521600.0,447.359,54.9,47.3,15.6,1.2,11.8,672.52
19170,용담,20210427,0.0,51388784640.0,115117148159.99998,446.622,54.8,58.0,15.6,0.9,1.1,672.52
19171,용담,20210428,0.0,30710845439.999996,115572510720.0,445.639,54.7,55.4,16.1,1.3,4.8,672.52
19172,용담,20210429,0.284,30621265920.0,115356026880.0,444.659,54.6,52.0,15.7,1.8,8.7,672.52
19173,용담,20210430,1.8012,33905848320.0,139647006720.0,443.435,54.4,67.1,12.8,2.8,6.1,672.52
19174,용담,20210101,0.2601,23529553920.0,116005478400.0,508.712,62.4,87.1,-5.5,0.5,5.02,672.52
19175,용담,20210102,0.2765,23589273600.0,115945758720.0,507.643,62.3,62.0,-3.2,1.1,10.02,672.52
19176,용담,20210103,0.125,23574343680.0,115803924480.0,506.576,62.2,69.3,-5.4,0.5,7.24,672.52
19177,용담,20210104,0.4254,1052559360.0,116169707520.0,505.243,62.0,74.4,-4.5,0.5,7.47,672.52
19178,용담,20210105,0.1351,24417884160.000004,116371261440.00002,504.179,61.9,64.5,-2.8,1.3,7.29,672.52
19179,용담,20210106,0.7557,24694087680.0,116520560640.00002,503.116,61.7,71.0,-6.8,1.1,9.85,672.52
19180,용담,20210107,0.3775,24768737280.0,116475770880.0,502.055,61.6,57.2,-11.2,2.6,11.0,672.52
19181,용담,20210108,0.0,24656762880.0,116236892159.99998,500.995,61.5,66.8,-15.3,0.7,10.65,672.52
19182,용담,20210109,0.1414,1769195520.0,116072663040.00002,499.672,61.3,66.8,-13.1,0.9,8.76,672.52
19183,용담,20210110,0.391,2254417920.0,116363796480.0,498.351,61.2,69.9,-9.8,0.5,8.25,672.52
19184,용담,20210111,0.0,25336074239.999996,116483235840.00002,497.296,61.0,75.3,-6.4,0.4,5.5,672.52
19185,용담,20210112,0.5546,25433118720.0,116460840959.99998,496.242,60.9,78.0,-3.0,0.9,9.34,672.52
19186,용담,20210113,0.9519,27418798080.0,118319616000.0,495.19,60.8,75.3,2.6,1.5,9.1,672.52
19187,용담,20210114,0.0,8263710720.0,121716172800.0,493.877,60.6,70.0,2.6,0.7,9.91,672.52
19188,용담,20210115,0.0,31920168960.000004,122544783359.99998,492.828,60.5,74.6,4.7,1.8,5.5,672.52
19189,용담,20210116,0.0,32181442560.000004,122679152640.00002,491.781,60.3,62.5,-1.1,2.2,9.22,672.52
19190,용담,20210117,0.0,9555148800.0,122507458559.99998,490.474,60.2,63.8,-4.0,1.5,11.0,672.52
19191,용담,20210118,1.7281,32435251200.0,122656757759.99998,489.429,60.1,76.8,-2.3,2.0,6.57,672.52
19192,용담,20210119,1.558,10167275520.0,122768732159.99998,488.126,59.9,58.3,-5.3,0.8,11.52,672.52
19193,용담,20210120,0.1309,32405391360.000004,122350694400.0,487.085,59.8,63.0,-2.9,0.5,10.82,672.52
19194,용담,20210121,6.9893,32509900800.0,122328299520.0,486.045,59.6,77.8,3.7,0.3,5.6,672.52
19195,용담,20210122,3.5205,54994360320.00001,122276044800.0,485.267,59.5,95.5,6.8,0.4,4.55,672.52
19196,용담,20210123,0.0,55382538240.0,122597038080.0,484.489,59.5,84.8,7.3,1.3,3.69,672.52
19197,용담,20210124,0.0,32927938560.000004,122440273920.0,483.453,59.3,75.3,5.7,0.8,11.32,672.52
19198,용담,20210125,0.0,33226536960.000004,122611968000.0,482.418,59.2,72.8,5.5,0.9,10.12,672.52
19199,용담,20210126,6.8163,55658741760.0,122619432959.99998,481.643,59.1,89.5,4.2,0.9,3.4,672.52
19200,용담,20210127,0.0,55554232320.00001,122440273920.0,480.869,59.0,62.5,2.3,1.0,11.69,672.52
19201,용담,20210128,0.708,33741619200.0,122813521920.0,479.838,58.9,67.7,-1.6,2.9,5.98,672.52
19202,용담,20210129,0.2601,34055147520.0,123007610880.0,478.809,58.8,55.9,-5.9,2.0,12.17,672.52
19203,용담,20210130,1.3991,34219376639.999996,123044935680.0,477.781,58.6,73.2,-1.4,1.2,8.14,672.52
19204,용담,20210131,0.4015,34383605760.0,123089725440.00002,476.754,58.5,70.4,2.9,1.2,10.21,672.52
19205,용담,20201201,0.0,217555.19999999998,1333065.6,543.391,66.7,62.7,-0.1,0.7,10.3,672.52
19206,용담,20201202,0.0,219196.8,1333238.4,542.277,66.5,60.1,1.1,0.7,9.01,672.52
19207,용담,20201203,0.0,220147.2,1332806.4,541.164,66.4,65.9,0.3,1.3,8.05,672.52
19208,용담,20201204,0.0,221443.2,1332720.0,540.053,66.3,69.3,-1.3,0.9,10.14,672.52
19209,용담,20201205,0.0,501897.60000000003,1334361.6,539.22,66.2,77.0,0.4,0.7,7.79,672.52
19210,용담,20201206,0.0,225417.6,1334188.8,538.111,66.0,80.5,1.3,0.7,8.58,672.52
19211,용담,20201207,0.0,0.0,1339113.6,536.727,65.9,79.3,1.6,0.7,5.67,672.52
19212,용담,20201208,0.0,228528.0,1334102.4000000001,535.622,65.7,72.7,-1.0,0.9,9.96,672.52
19213,용담,20201209,0.0,228441.6,1332633.5999999999,534.518,65.6,63.8,-0.7,0.6,9.52,672.52
19214,용담,20201210,0.0,236044.80000000002,1338768.0,533.415,65.5,66.6,4.2,0.6,7.24,672.52
19215,용담,20201211,0.0,509846.39999999997,1336003.2,532.589,65.4,78.4,4.3,0.6,6.46,672.52
19216,용담,20201212,0.0,0.0,1336089.6,531.214,65.2,58.8,3.0,1.3,9.53,672.52
19217,용담,20201213,4.4117,237254.4,1335744.0,530.115,65.0,72.5,0.3,1.9,3.16,672.52
19218,용담,20201214,0.1309,241315.2,1338336.0,529.018,64.9,54.3,-4.6,2.1,10.13,672.52
19219,용담,20201215,0.0,244425.6,1340064.0,527.923,64.8,51.8,-6.2,1.2,10.45,672.52
19220,용담,20201216,0.0,243216.0,1337472.0,526.828,64.6,69.2,-6.8,1.2,9.83,672.52
19221,용담,20201217,0.0,239068.8,1331856.0,525.736,64.5,70.2,-5.7,0.8,9.6,672.52
19222,용담,20201218,0.0,0.0,1334793.6,524.372,64.3,69.4,-1.4,1.2,4.76,672.52
19223,용담,20201219,0.0,246240.0,1335830.4000000001,523.282,64.2,48.4,-4.4,1.3,10.56,672.52
19224,용담,20201220,0.0,246326.4,1334534.4,522.194,64.1,58.7,-3.5,0.8,9.89,672.52
19225,용담,20201221,0.0,247276.80000000002,1334016.0,521.107,63.9,81.0,-1.9,0.5,5.12,672.52
19226,용담,20201222,0.0,252460.80000000002,1337817.6,520.022,63.8,84.4,-0.4,0.6,6.67,672.52
