dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
장흥,20220727,0,75340.8,272937.6,80.0633,41.92,81.5,25.8,1.9,11.5,171
장흥,20220728,0,38361.6,360633.6,79.741,41.75,83.6,27,1.8,10.8,171
장흥,20220729,0,81129.6,612489.6,79.2096,41.47,74,28.7,1.9,11.4,171
장흥,20220730,0.369,63072,586137.6,78.6866,41.2,74.3,27.9,3.3,1,171
장흥,20220731,47.475,418348.8,587952,78.5169,41.11,95.3,26.4,5,5.9,171
주암(본),20220701,0,120873.6,666748.8,115.1597,25.2,81.7,26.3,1.5,29.99,352
주암(본),20220702,0,96595.2,673315.2,114.583,25.07,76,26.5,1.2,27.74,352
주암(본),20220703,0,98928,651974.4,114.0299,24.95,73.3,27.1,1.5,21.88,352
주암(본),20220704,3.2429,90028.8,662860.8,113.4571,24.83,84.3,26.1,1.3,18.44,352
주암(본),20220705,7.9582,234489.6,676252.8,113.0153,24.73,84.3,26.6,1,2.6,352
주암(본),20220706,0.1366,113702.4,672364.8,112.4567,24.61,82.5,27.4,1.8,6.2,352
주암(본),20220707,1.4082,125539.2,660873.6,111.9213,24.49,83.3,27.5,2.2,3.9,352
주암(본),20220708,4.5503,227145.6,590198.4,111.5582,24.41,92,26,1,1.8,352
주암(본),20220709,0,35251.2,610243.2,110.9833,24.29,79,25.8,2.8,9.8,352
주암(본),20220710,0,124502.4,612662.4,110.4951,24.18,80,26.6,1.6,7.3,352
주암(본),20220711,10.4185,255052.8,625536,110.1246,24.1,89.3,25.7,1.1,1.7,352
주암(본),20220712,0.0497,79228.8,628041.6,109.5758,23.98,85.5,25.1,1.5,1,352
주암(본),20220713,0,91324.8,627782.4,109.0393,23.86,86.5,23.8,1.6,9.12,352
주암(본),20220714,22.5766,1222387.2,622684.8,109.639,23.99,79.9,26.8,2.3,6.9,352
주암(본),20220715,0,361843.2,456710.4,109.5442,23.97,73.8,26,2.5,11.3,352
주암(본),20220716,0,239846.4,460944,109.3231,23.92,69.1,25.9,2.5,9.5,352
주암(본),20220717,0,164678.4,448502.4,109.0393,23.86,83.6,24.6,1.4,1,352
주암(본),20220718,81.4406,3103660.8,403228.8,111.7397,24.45,99.6,22.1,0.9,3.3,352
주암(본),20220719,0.2532,3906489.6,399254.4,115.2469,25.22,77.6,25.6,2.7,10,352
주암(본),20220720,0.734,1782691.2,391996.8,116.6376,25.52,79.6,25.8,1.5,9.8,352
주암(본),20220721,5.4806,1010707.2,426988.8,117.2213,25.65,83.3,23.8,2.6,1,352
주암(본),20220722,0.1283,577152,488851.2,117.3096,25.67,82.9,23.7,1.8,4.8,352
주암(본),20220723,17.5847,420681.6,420681.6,117.3096,25.67,87.3,23.2,1.3,1.8,352
주암(본),20220724,19.4556,1271808,408672,118.1728,25.86,86.9,24.4,1.9,1.5,352
주암(본),20220725,0.1283,1115251.2,403747.2,118.8842,26.01,79.3,26.1,2.1,6.1,352
주암(본),20220726,0,718848,406684.8,119.1964,26.08,83.7,25.3,1.5,6.2,352
주암(본),20220727,0,453686.4,420163.2,119.2299,26.09,78.9,25.5,1.6,7.5,352
주암(본),20220728,0,398390.4,420681.6,119.2076,26.08,82.5,26.1,1.6,6.5,352
주암(본),20220729,0,212112,412905.6,119.0068,26.04,76.5,27.7,1.7,9.5,352
주암(본),20220730,0,232329.6,399427.2,118.8397,26,79.8,26.6,2.3,0.7,352
주암(본),20220731,80.5078,6748358.4,375321.6,125.2127,27.4,93.5,25.6,4.1,3.49,352
